"recursada","tasa_rep_carga","quintil_asig","ceneval_analitico","ceneval_matematico","ceneval_lengua","ceneval_esp","prom_per_prev","tasa_rep_doc","tasa_aprob_per_prev","asigMuchas","año_encurso","complejidad_carga5","semestre_Otoño","carga_aprobada","total_recursando","situacion_Irregular"
0,11.4390115822563,5.2,1056.311998,1038.155921,1068.489518,1087.139296,8.4,0,0,0,2,2,0,1,0,0
0,3.30188679245283,1,1056.311998,1038.155921,1068.489518,1087.139296,9,5.40540540540541,1,0,2,1,1,1,0,0
0,5.73790770180585,2,1056.311998,1038.155921,1068.489518,1087.139296,8.66666666666667,0,1,0,3,3,0,1,0,0
0,10.7776714434152,3,1056.311998,1038.155921,1068.489518,1087.139296,7.5,3.30578512396694,1,0,3,1,1,1,0,0
0,22.1302763227183,5.2,1056.311998,1038.155921,1068.489518,1087.139296,8.33333333333333,17.7215189873418,1,0,4,1,0,1,0,0
0,13.0767538190697,4,1056.311998,1038.155921,1068.489518,1087.139296,7,7.9295154185022,1,0,4,1,1,0,0,0
0,3.95137288476327,1,1056.311998,1038.155921,1068.489518,1087.139296,5.75,38.3419689119171,0,0,5,3,1,1,1,0
0,25.2255350658767,5.2,1084,1132,1084,1204,8.4,48.1949458483754,0,1,1,5,1,1,0,0
0,18.3333333333333,5.1,1084,1132,1084,1204,9.14285714285714,8.57814336075205,1,0,2,1,0,1,0,0
0,20.866061625773,5.2,1084,1132,1084,1204,9,22.4719101123595,1,0,2,4,1,1,0,0
0,19.0530391419432,5.2,1084,1132,1084,1204,7.6,39.6825396825397,1,0,3,2,0,1,0,0
0,8.48049784773021,4,1084,1132,1084,1204,8.4,48.1949458483754,1,0,3,1,1,1,0,0
0,9.1335362398614,1,1084,1132,1084,1204,9.25,14.2105263157895,1,0,4,1,0,1,0,0
0,11.5853480723028,5.2,1084,1132,1084,1204,9,20.5374280230326,1,1,4,3,1,1,0,0
0,24.8167658084099,5.2,1060,988,1108,1108,8.4,36.9747899159664,0,1,1,5,1,0,0,0
0,25.7193585076699,4,1060,988,1108,1108,7.57142857142857,10.2848101265823,0.6,0,2,1,0,0,1,1
0,27.2178776702742,5.2,1252,1204,1180,1132,8.4,33.5640138408305,0,0,1,5,1,0,0,0
0,26.1359810867328,5.1,1108,1060,1036,1036,8.4,16.0493827160494,0,1,1,5,1,0,0,0
0,27.4587290886575,5.2,1084,1132,1012,1060,8.4,38.3419689119171,0,1,1,5,1,0,0,0
0,24.0603990853472,5.2,1084,1132,1012,1060,8.625,44,0.857142857142857,1,2,4,0,0,0,1
0,27.0077864502148,5.1,1132,1204,1036,1204,8.4,21.9512195121951,0,1,1,5,1,0,0,0
0,23.3599486749484,3,1132,1204,1036,1204,7.875,6.66666666666667,0.857142857142857,1,2,5,0,0,0,1
1,20.677714618146,4,1132,1204,1036,1204,4.28571428571429,4.16666666666666,0.25,0,2,1,1,1,3,0
1,23.2974861833411,5.2,1132,1204,1036,1204,8.33333333333333,48.1949458483754,1,1,3,4,0,0,4,0
1,13.2975897562293,4,1132,1204,1036,1204,5.42857142857143,20.5128205128205,0.4,1,3,1,1,0,1,1
0,14.1311052597269,3,1132,1204,1036,1204,6.14285714285714,33.9055793991416,0.25,0,4,2,0,0,2,1
0,26.1359810867328,5.1,1108,1156,1132,1204,8.4,16.6666666666667,0,1,1,5,1,0,0,0
0,27.3654595504983,4,1276,1228,1084,1156,8.4,13.6363636363636,0,1,1,5,1,1,0,0
0,25.1636717114294,4,1276,1228,1084,1156,8.25,10.2848101265823,1,1,2,5,0,0,0,0
0,20.9507994933668,4,1276,1228,1084,1156,4.125,36.9747899159664,0.2,0,2,1,1,1,1,0
0,6.29982562443475,3,1276,1228,1084,1156,8.66666666666667,8.57814336075205,1,0,3,2,0,1,0,0
0,11.5501872056787,3,1276,1228,1084,1156,8.5,7.95454545454546,1,0,3,1,1,1,0,0
0,14.9971985557669,4,1276,1228,1084,1156,8.66666666666667,7.9295154185022,1,1,4,4,0,1,1,1
0,11.8617790537445,2,1276,1228,1084,1156,8,4.5045045045045,1,1,4,3,1,0,0,0
0,26.8639915477174,4,1156,1060,1156,1132,8.4,6.16438356164384,0,1,1,5,1,0,0,0
0,25.3446388909943,5.2,1156,1060,1156,1132,8.625,44,0.833333333333333,1,2,5,0,0,0,1
0,16.450141514001,5.1,1156,1060,1156,1132,8.25,0,0.666666666666667,1,2,4,1,1,1,1
0,4.69798657718121,3,1156,1060,1156,1132,8.42857142857143,0,1,0,3,1,1,1,0,0
0,9.93270532439281,3,1156,1060,1156,1132,10,2.84552845528455,1,0,4,3,0,1,0,0
0,12.8819784908859,4,1156,1060,1156,1132,9,2.84552845528455,1,1,4,3,1,1,0,0
0,25.211848813903,5.2,1084,1084,1036,1132,8.4,36.9747899159664,0,1,1,5,1,0,0,0
0,30.4783676342147,4,1084,1084,1036,1132,6.85714285714286,8.7378640776699,0.5,0,2,1,0,0,1,0
0,30.7416485341072,4,1084,1084,1036,1132,4.33333333333333,20.5128205128205,0,0,2,1,1,1,2,0
0,16.1163311243188,5.1,1084,1084,1036,1132,9,17.7700348432056,1,0,3,1,1,0,1,1
0,21.5883323824078,4,1084,1084,1036,1132,5.66666666666667,10.2848101265823,0.333333333333333,0,4,1,0,0,0,0
1,16.2467249821291,5.2,1084,1084,1036,1132,6.33333333333333,7.8125,0.5,0,4,2,1,1,3,1
0,25.0475117824774,4,1036,916,988,1108,8.4,12.8205128205128,0,1,1,5,1,0,0,0
0,19.4880434521741,4,1060,1180,1108,1180,8.4,4.76190476190477,0,0,1,1,1,1,0,0
0,26.8639915477174,4,1132,1108,1180,1180,8.4,34.375,0,1,1,5,1,0,0,0
0,23.7748218796815,5.1,1132,1108,1180,1180,8.125,8.57814336075205,0.666666666666667,1,2,4,0,0,1,1
0,17.3146734826241,4,1132,1108,1180,1180,6.42857142857143,24.4791666666667,0.6,0,2,1,1,1,1,1
1,21.9586477720947,5.2,1132,1108,1180,1180,8.83333333333333,39.6825396825397,1,0,3,1,0,0,1,1
0,7.88607016396916,4,1132,1108,1180,1180,6.6,10.3896103896104,0.75,0,3,2,1,1,0,1
0,16.0881055019934,3,1132,1108,1180,1180,9.5,8.57814336075205,1,1,4,2,0,1,1,1
0,12.4469488050824,2,1132,1108,1180,1180,8.42857142857143,11.4285714285714,1,1,4,3,1,0,0,0
0,27.5484569121929,5.1,1108,1180,1012,1132,8.4,16.0493827160494,0,0,1,5,1,1,0,0
0,20.2147747939387,4,1108,1180,1012,1132,9.66666666666667,7.95454545454546,1,0,2,1,0,1,0,0
0,12.052482920429,4,1108,1180,1012,1132,9,23.9766081871345,1,1,3,2,0,1,0,0
