"matricula","carrera","periodo","numRepPrev","año","semestre","recursada","cantidad_asig","tasa_rep_carga","tasa_rep_asig","quintil_asig","asignatura","ceneval_global","ceneval_analitico","ceneval_matematico","ceneval_lengua","ceneval_esp","prom_per_prev","tasa_rep_doc_asig","tasa_rep_doc","generacion","tasa_aprob_per_prev","tasa_aprob_gral_prev","asigMuchas","cuartil_repEst","asigRep_totalAsig","año_encurso","complejidad_carga4","complejidad_carga","complejidad_carga5","semestre_Otoño","carga_aprobada","recursando","total_recursando","practicante","situacion","situacion_Condicionado","situacion_Irregular","situacion_Regular"
140300055,"Ingeniería en Datos e Inteligencia Organizacional",201703,0,2017,"Otoño",0,1,15.3284671532847,15.3284671532847,5.1,"ElectrÃ³nica digital",1138,1132,1180,1132,1108,8,16.8,33.029197080292,2014,1,1,0,1,0,4,4,5,1,1,1,0,0,0,"Regular",0,0,1
140300055,"Ingeniería en Datos e Inteligencia Organizacional",201801,0,2018,"Primavera",0,5,16.7582677733629,16.9014084507042,5.1,"Sistemas de planificaciÃ³n de recursos empresariales",1138,1132,1180,1132,1108,7,9.09090909090909,7.69230769230769,2014,1,1,0,1,0,5,1,7,1,0,0,0,0,0,"Regular",0,0,1
140300055,"Ingeniería en Datos e Inteligencia Organizacional",201803,1,2018,"Otoño",0,5,13.3133924653045,20.1117318435754,5.1,"Aprendizaje estadÃ­stico",1138,1132,1180,1132,1108,8.2,20,20.5374280230326,2014,0.75,0.9375,0,3,0.2,5,3,6,2,1,1,0,0,0,"Irregular",0,1,0
140300055,"Ingeniería en Datos e Inteligencia Organizacional",201901,0,2019,"Primavera",0,6,7.98909576535089,2.12765957446809,2,"DiseÃ±o de interfaces humano-mÃ¡quina",1138,1132,1180,1132,1108,9,0,2.84552845528455,2014,1,0.95,0,1,0,6,3,6,1,0,1,1,1,0,"Irregular",0,1,0
140300055,"Ingeniería en Datos e Inteligencia Organizacional",201903,0,2019,"Otoño",0,7,4.85051220384086,10.3448275862069,4,"CÃ³mputo de alto desempeÃ±o",1138,1132,1180,1132,1108,8.66666666666667,6.89655172413793,2.84552845528455,2014,1,0.958333333333333,1,1,0,6,3,6,3,1,1,0,0,0,"Regular",0,0,1
140300055,"Ingeniería en Datos e Inteligencia Organizacional",202001,0,2020,"Primavera",0,4,2.57906471865282,0,1,"Marketing en los negocios electrÃ³nicos",1064.110594,1056.311998,1038.155921,1068.489518,1087.139296,8.71428571428571,0,0,2014,1,0.964285714285714,0,1,0,7,3,6,3,0,1,0,0,0,"Regular",0,0,1
140300058,"Ingeniería en Datos e Inteligencia Organizacional",201601,0,2016,"Primavera",0,5,5.3591195207518,6.00706713780919,3,"Identidad y cultura",1096,1012,1156,1108,1108,8.4,3.44827586206896,6.14035087719298,2014,0,0,0,1,0,3,4,5,1,0,1,0,0,0,"Regular",0,0,1
140300058,"Ingeniería en Datos e Inteligencia Organizacional",201603,0,2016,"Otoño",0,5,16.5177991667631,18.3391003460208,5.1,"Probabilidad y estadÃ­stica",1096,1012,1156,1108,1108,8.6,0,0,2014,1,1,0,1,0,3,4,5,1,1,1,0,0,0,"Regular",0,0,1
140300058,"Ingeniería en Datos e Inteligencia Organizacional",201701,0,2017,"Primavera",0,4,6.52643502542083,18.716577540107,5.1,"ElectrÃ³nica analÃ³gica",1096,1012,1156,1108,1108,8,32.0388349514563,33.029197080292,2014,1,1,0,1,0,4,4,5,1,0,1,0,0,0,"Regular",0,0,1
140300058,"Ingeniería en Datos e Inteligencia Organizacional",201703,0,2017,"Otoño",0,3,7.69367183991731,9.24170616113744,4,"IntroducciÃ³n a los sistemas de informaciÃ³n",1096,1012,1156,1108,1108,8.75,8.48484848484848,10.2848101265823,2014,1,1,0,1,0,4,4,5,1,1,1,0,0,0,"Regular",0,0,1
